Zipcode,Perc_time_last_10_Febr,Perc_time_first_10_March,Perc_time_middle_10_March,Perc_time_last_10_March
60601,49.2,42.3,61,34.9
60654,55.2,56.5,68.8,39.8
60611,63.1,63.5,75.1,68.5
60604,70.4,75.8,81.6,68.6
60411,66.7,67,72.5,87.6
60661,61.5,63.3,72.7,90.1
60018,68.8,66.7,76.2,90.4
60428,71,69.4,78.5,94.1
60476,62.2,62.7,66.4,94.5
60612,69.6,70.5,77.2,94.6
60637,74.1,73.5,82,95
60419,77,76.4,83.1,95.1
60160,69.9,69,74.7,95.1
60473,70.8,74.3,80.4,95.5
60501,69,70.8,78.6,95.6
60426,78.5,78,86.9,96
60406,72.3,74.5,80.8,96.1
60475,77.2,76.5,83.9,96.2
60176,71.4,69.9,79.4,96.4
60624,75.7,76.3,83.3,96.5
60007,68.5,70.5,78.6,96.5
60458,73.6,75.2,79.7,96.5
60165,75.5,74.6,81.8,96.5
60827,73.4,75.3,84.3,96.9
60482,73.2,73.9,81.6,97
60162,76.5,76,84.3,97.1
60471,74,72.2,80,97.1
60455,76.4,74,82.9,97.2
60480,72.4,56.9,71.7,97.2
60610,67.5,69.7,84.3,97.3
60010,76.2,71.8,86.8,97.3
60621,76.3,78.1,86.1,97.4
60131,71.5,72.8,77.8,97.5
60130,67.9,71.2,83.3,97.5
60472,75.5,75.1,85.7,97.6
60653,71.4,71.8,81.7,97.7
60628,76.7,77.3,86.5,98
60153,72.1,74.5,82.4,98.1
60445,72.7,71.5,81.3,98.1
60201,71.7,72.7,86.6,98.2
60623,77.2,76.6,84,98.2
60607,73.7,75.2,84.9,98.2
60155,72.3,71.3,80.2,98.3
60644,74.8,76.9,84.5,98.3
60141,73.3,80.3,85.8,98.3
60469,74.5,75.5,82.6,98.3
60636,77.9,78.3,85.8,98.3
60163,73.4,71.9,84.2,98.4
60534,74,72.3,80.9,98.4
60615,76.2,76.5,85.6,98.4
60652,72.7,74.6,82.7,98.5
60478,74.5,76.9,84.1,98.6
60804,75.5,75.9,82.8,98.6
60525,71.5,71.3,84.3,98.7
60651,75.9,75.6,83.1,98.7
60803,72.9,74.7,82.8,98.7
60619,74.7,75.4,82.9,98.7
60402,73.5,73.8,81.7,98.7
60639,74.2,74.3,83,98.8
60120,75.7,75,83.3,98.8
60457,74.8,75.6,84,98.8
60620,75,76.6,85.6,98.8
60164,73,73.9,82.4,98.8
60452,73.5,73.9,83,98.9
60104,72.5,72,81.5,98.9
60461,74.2,78.1,88,98.9
60465,75,76.1,83.3,98.9
60425,76.7,77.5,85.8,98.9
60171,73.2,72.5,80.6,99
60429,77,78.7,86.2,99
60605,67.7,69.5,82.3,99
60090,73.4,72.9,84.2,99
60430,74.8,74.6,84.7,99
60005,72.7,71.6,82.9,99.1
60415,76.4,77.3,85.8,99.1
60118,70.1,70.2,80.6,99.1
60439,73.4,73,84.3,99.1
60453,74.5,75.4,85.9,99.1
60443,73.6,73.5,82.7,99.1
