ZIPCODE,STCOUNTYFP,CITY,STATE,COUNTYNAME
36091,1001,Verbena,AL,Autauga
36758,1001,Plantersville,AL,Autauga
36006,1001,Billingsley,AL,Autauga
36067,1001,Prattville,AL,Autauga
36701,1001,Selma,AL,Autauga
36003,1001,Autaugaville,AL,Autauga
36008,1001,Booth,AL,Autauga
36068,1001,Prattville,AL,Autauga
36022,1001,Deatsville,AL,Autauga
36703,1001,Selma,AL,Autauga
36749,1001,Jones,AL,Autauga
36066,1001,Prattville,AL,Autauga
36051,1001,Marbury,AL,Autauga
36502,1003,Atmore,AL,Baldwin
36507,1003,Bay minette,AL,Baldwin
36527,1003,Daphne,AL,Baldwin
36532,1003,Fairhope,AL,Baldwin
36561,1003,Orange beach,AL,Baldwin
36550,1003,Little river,AL,Baldwin
36564,1003,Point clear,AL,Baldwin
36579,1003,Stockton,AL,Baldwin
36526,1003,Daphne,AL,Baldwin
36551,1003,Loxley,AL,Baldwin
36555,1003,Magnolia springs,AL,Baldwin
36542,1003,Gulf shores,AL,Baldwin
36567,1003,Robertsdale,AL,Baldwin
36533,1003,Fairhope,AL,Baldwin
36576,1003,Silverhill,AL,Baldwin
36580,1003,Summerdale,AL,Baldwin
36547,1003,Gulf shores,AL,Baldwin
36559,1003,Montrose,AL,Baldwin
36562,1003,Perdido,AL,Baldwin
36549,1003,Lillian,AL,Baldwin
36577,1003,Spanish fort,AL,Baldwin
36511,1003,Bon secour,AL,Baldwin
36530,1003,Elberta,AL,Baldwin
36480,1003,Uriah,AL,Baldwin
36535,1003,Foley,AL,Baldwin
36574,1003,Seminole,AL,Baldwin
36536,1003,Foley,AL,Baldwin
36578,1003,Stapleton,AL,Baldwin
36017,1005,Clio,AL,Barbour
36016,1005,Clayton,AL,Barbour
36317,1005,Clopton,AL,Barbour
36072,1005,Eufaula,AL,Barbour
36311,1005,Ariton,AL,Barbour
36048,1005,Louisville,AL,Barbour
36053,1005,Midway,AL,Barbour
36374,1005,Skipperville,AL,Barbour
36027,1005,Eufaula,AL,Barbour
35115,1007,Montevallo,AL,Bibb
35184,1007,West blocton,AL,Bibb
36750,1007,Maplesville,AL,Bibb
36756,1007,Marion,AL,Bibb
35074,1007,Green pond,AL,Bibb
35042,1007,Centreville,AL,Bibb
35111,1007,Mc calla,AL,Bibb
35456,1007,Duncanville,AL,Bibb
36792,1007,Randolph,AL,Bibb
35080,1007,Helena,AL,Bibb
35188,1007,Woodstock,AL,Bibb
35034,1007,Brent,AL,Bibb
35035,1007,Brierfield,AL,Bibb
36793,1007,Lawley,AL,Bibb
35063,1009,Empire,AL,Blount
35146,1009,Springville,AL,Blount
35980,1009,Horton,AL,Blount
35013,1009,Allgood,AL,Blount
35126,1009,Pinson,AL,Blount
35097,1009,Locust fork,AL,Blount
35049,1009,Cleveland,AL,Blount
35172,1009,Trafford,AL,Blount
35957,1009,Boaz,AL,Blount
35031,1009,Blountsville,AL,Blount
35133,1009,Remlap,AL,Blount
35976,1009,Guntersville,AL,Blount
35016,1009,Arab,AL,Blount
35121,1009,Oneonta,AL,Blount
35079,1009,Hayden,AL,Blount
35180,1009,Warrior,AL,Blount
35952,1009,Altoona,AL,Blount
36029,1011,Fitzpatrick,AL,Bullock
36052,1011,Mathews,AL,Bullock
36089,1011,Union springs,AL,Bullock
36860,1011,Hurtsboro,AL,Bullock
36031,1011,Fort davis,AL,Bullock
36081,1011,Troy,AL,Bullock
36053,1011,Midway,AL,Bullock
36005,1011,Banks,AL,Bullock
36830,1011,Auburn,AL,Bullock
36071,1013,Rutledge,AL,Butler
36015,1013,Chapman,AL,Butler
36042,1013,Honoraville,AL,Butler
36474,1013,Red level,AL,Butler
36033,1013,Georgiana,AL,Butler
36456,1013,Mc kenzie,AL,Butler
36030,1013,Forest home,AL,Butler
36032,1013,Fort deposit,AL,Butler
36037,1013,Greenville,AL,Butler
36205,1015,Anniston,AL,Calhoun
36250,1015,Alexandria,AL,Calhoun
36204,1015,Anniston,AL,Calhoun
36253,1015,Bynum,AL,Calhoun
35096,1015,Lincoln,AL,Calhoun
35905,1015,Gadsden,AL,Calhoun
36206,1015,Anniston,AL,Calhoun
36277,1015,Weaver,AL,Calhoun
36260,1015,Eastaboga,AL,Calhoun
36207,1015,Anniston,AL,Calhoun
36272,1015,Piedmont,AL,Calhoun
36202,1015,Anniston,AL,Calhoun
36265,1015,Jacksonville,AL,Calhoun
36201,1015,Anniston,AL,Calhoun
36203,1015,Oxford,AL,Calhoun
36257,1015,De armanville,AL,Calhoun
36271,1015,Ohatchee,AL,Calhoun
36279,1015,Wellington,AL,Calhoun
36254,1015,Choccolocco,AL,Calhoun
36854,1017,Valley,AL,Chambers
36850,1017,Camp hill,AL,Chambers
36879,1017,Waverly,AL,Chambers
36852,1017,Cusseta,AL,Chambers
36276,1017,Wadley,AL,Chambers
36274,1017,Roanoke,AL,Chambers
36801,1017,Opelika,AL,Chambers
36863,1017,Lanett,AL,Chambers
36862,1017,Lafayette,AL,Chambers
36855,1017,Five points,AL,Chambers
35984,1019,Mentone,AL,Cherokee
35973,1019,Gaylesville,AL,Cherokee
35901,1019,Gadsden,AL,Cherokee
36275,1019,Spring garden,AL,Cherokee
35903,1019,Gadsden,AL,Cherokee
35983,1019,Leesburg,AL,Cherokee
35959,1019,Cedar bluff,AL,Cherokee
35961,1019,Collinsville,AL,Cherokee
35967,1019,Fort payne,AL,Cherokee
36272,1019,Piedmont,AL,Cherokee
35960,1019,Centre,AL,Cherokee
35115,1021,Montevallo,AL,Chilton
36091,1021,Verbena,AL,Chilton
36758,1021,Plantersville,AL,Chilton
36790,1021,Stanton,AL,Chilton
36006,1021,Billingsley,AL,Chilton
36750,1021,Maplesville,AL,Chilton
35045,1021,Clanton,AL,Chilton
36792,1021,Randolph,AL,Chilton
35040,1021,Calera,AL,Chilton
35046,1021,Clanton,AL,Chilton
35171,1021,Thorsby,AL,Chilton
36051,1021,Marbury,AL,Chilton
35085,1021,Jemison,AL,Chilton
36793,1021,Lawley,AL,Chilton
36915,1023,Needham,AL,Choctaw
