census_block_group,amount_land,amount_water,latitude,longitude
170679542001,1681872,867652,40.35794,-91.4401677
170010101003,208407485,16128524,40.1140413,-91.4364945
170679542002,82381749,7010625,40.3161942,-91.4283887
170010105002,40064596,10673233,39.9991475,-91.4212596
170010106002,19593602,2904943,39.8765293,-91.420528
170010008002,1594062,970500,39.9183086,-91.4137435
170010007002,880817,354525,39.9326365,-91.4125376
170010004003,893793,121728,39.9410141,-91.4107858
170010004001,2195256,87252,39.9573668,-91.4091716
170010004002,647229,0,39.9465817,-91.4081635
170010008003,366216,0,39.9174209,-91.4058983
170010008001,406965,0,39.9251944,-91.4058823
170010004004,721323,3145,39.9529852,-91.4047528
170010007001,475121,0,39.9329908,-91.3999576
170010009001,539372,0,39.9251486,-91.3998601
170010009002,1258554,0,39.9113962,-91.3995452
170010005002,577870,0,39.9398502,-91.3985484
170010005001,684646,0,39.9467318,-91.3985398
170010006003,448882,0,39.9343379,-91.3918396
170010006004,486405,0,39.9291094,-91.3917506
170010010012,487950,0,39.9236564,-91.3917219
170010010021,651216,0,39.917276,-91.3917144
170010002023,305311,0,39.9392721,-91.3903947
170010105001,8526618,19718,39.9792364,-91.3879912
170010002011,2649821,0,39.9577092,-91.3869104
170010010022,2425487,0,39.9066104,-91.3865365
170010002022,767930,0,39.9441907,-91.385657
170010002012,556517,0,39.948528,-91.3856466
170010002021,441717,0,39.9391728,-91.3823768
170010006002,442903,0,39.9342532,-91.3823707
170010006005,498129,0,39.929021,-91.3823067
170010010013,538857,0,39.916551,-91.3822892
170010010011,602836,0,39.922901,-91.3822757
170679540002,7575941,5332964,40.540193,-91.3793675
170010006001,854270,0,39.930742,-91.3727199
170010001003,920607,0,39.945196,-91.3726445
170010106005,12193980,21151,39.8910464,-91.3694679
170010001004,826516,0,39.9375717,-91.368532
170010011002,3113045,0,39.9226842,-91.3667111
170010001002,972110,0,39.9445853,-91.3628882
170679541002,1990420,2586122,40.3935238,-91.3617719
170010011003,5544412,0,39.9049889,-91.3592195
170679542003,264397101,7278797,40.2679428,-91.3567158
170010001001,7923634,16904,39.9540864,-91.3541131
170679541003,16403432,876041,40.3688915,-91.3521657
170010011004,2491617,0,39.9187914,-91.3491051
170010011001,1691439,0,39.9304292,-91.3488137
170010001005,2294317,5138,39.9416296,-91.3415462
170679541001,12123221,2559966,40.4182862,-91.340884
170010106004,95796688,6924950,39.8060013,-91.3368267
170010104001,23602714,18369,39.9622815,-91.3251157
170679541004,4554812,0,40.3881315,-91.3243495
170010106001,18389649,0,39.9098768,-91.3229537
170679540001,53854192,13981826,40.5924698,-91.3130463
170010104002,61061632,66889,39.9827329,-91.304939
170679540003,202722940,7644351,40.4691766,-91.2992108
170010106003,60219348,139583,39.8737833,-91.2909703
170010101001,15315804,0,40.0898323,-91.2886099
170010101002,231168014,1427505,40.1418153,-91.2544881
170010101004,119714668,109152,40.039376,-91.2405771
170010103006,16933395,0,39.8201253,-91.2368498
170010103003,107742382,48146,39.8864204,-91.2090985
170010104003,92162148,174243,39.9787802,-91.1942346
170679539002,172682598,328303,40.4875624,-91.1885649
170679539001,72424721,3939970,40.6014155,-91.1720692
170679543005,176367762,500079,40.2419677,-91.153322
170679543003,165684750,157229,40.3351389,-91.15219
170679538002,7899752,0,40.4071585,-91.1471902
170010103005,174696241,202793,39.793423,-91.1338248
170679538003,1839516,0,40.4088309,-91.125438
170679538001,4931544,0,40.4242277,-91.1226346
170010102002,169738362,195452,40.1149367,-91.1021379
170010103002,139388373,234949,39.955882,-91.0887491
170010103004,58821936,51734,39.8659839,-91.0794362
170010102003,27301994,14724,40.046834,-91.0578296
170719734003,92846638,16517719,40.8196606,-91.0415091
170679537001,193196050,219041,40.4969753,-91.0158902
170719735002,120468841,12437317,40.7300373,-91.006842
170679537002,185720899,73149,40.5861263,-91.0056175
170679543002,264391428,29701,40.3944583,-91.0012576
170719735003,150006623,66193,40.6725581,-91.0001825
170679543001,122487576,12569,40.257089,-90.9961804
170010102001,174406989,45349,40.1132236,-90.980366
170010103001,274464732,802324,39.8917093,-90.9776438
170719733003,8890358,4208420,40.9106922,-90.96585
170010102004,16083785,21442,40.0293879,-90.9544009
170719734002,84532435,0,40.845991,-90.9496492
170679543004,40428291,137442,40.2225759,-90.9352266
170719733002,27648644,8840800,41.015119,-90.9298605
170719734001,137915890,181403,40.8706011,-90.8545199
170719733001,184783144,88690,40.9968477,-90.8490021
170719735001,174181142,0,40.7189938,-90.8461581
170099704001,360683263,319750,39.9723416,-90.8423412
170099705003,722093,0,39.9849721,-90.7673784
170099705001,1525673,0,39.9917923,-90.7640606
170099705002,13859252,31720,39.9741781,-90.7568814
170139512001,266249924,20214500,39.3287441,-90.7520892
170099704003,151880474,1623738,39.8853042,-90.6703049
170099704002,262847524,2164100,40.0053808,-90.6547515
170139513001,139659604,24304720,39.091633,-90.6515531
170139512003,24308914,1521243,39.1422766,-90.6390155
170139512002,75421589,4183530,39.2459123,-90.6368905
170850202001,2891522,578587,42.5033914,-90.6361314
170850202003,5435259,0,42.4899958,-90.6203929
170850202004,7351893,0,42.4877426,-90.5990614
170139513002,151762885,26833171,38.9368206,-90.5847997
170850202002,37587139,11735009,42.4465432,-90.5611587
170619738002,241042276,2764473,39.3884536,-90.5189559
170850202005,62792790,0,42.4843141,-90.5140513
170619738003,218119556,2913682,39.2285546,-90.5112314
170619738001,130075658,1670320,39.4825741,-90.5099772
170830105001,131400236,11911712,39.0178316,-90.5058966
170830104021,197020573,678323,39.129022,-90.4881981
170850203006,76988528,8954905,42.4418501,-90.480824
170179603002,216273306,7083667,39.9325405,-90.4494809
170619740003,30607930,0,39.2824524,-90.4460136
170850203001,3129706,0,42.4151205,-90.44047
170179604002,640967,97024,40.0124656,-90.4400125
170619740002,53548466,84249,39.3295471,-90.4362566
170179605002,401383,107708,40.0162236,-90.4341014
170850203002,1122877,0,42.4276691,-90.4336014
170179604003,1178374,83159,39.9962641,-90.4335922
170179604001,426120,0,40.0086793,-90.4306841
170850203004,713599,0,42.4191713,-90.429891
170579530003,7189826,0,40.653122,-90.4288964
170179605003,521264,0,40.0116912,-90.4247073
170579539003,76356738,987287,40.2227542,-90.4190757
170179603003,1187047,9322,40.0154163,-90.4161936
170850203003,2833374,0,42.4236187,-90.4149279
170179605001,2480642,669315,40.0266929,-90.4146954
170830104022,90754562,281363,39.0426289,-90.4121029
170619739002,2458916,0,39.4329316,-90.4114325
170730302012,61943767,362532,41.4063807,-90.4086443
170579539002,42761238,110375,40.2997471,-90.4083366
170619739001,4032462,148826,39.4439316,-90.4002526
170619739003,2470960,16612,39.4282417,-90.3973714
170579531002,150015883,374144,40.4094244,-90.3960353
170730302014,68363613,68233,41.307627,-90.3887268
170730302013,8968363,0,41.3572828,-90.3853605
170619737002,1431943,0,39.4773326,-90.3777503
170730312003,10498081,0,41.1877943,-90.375523
170850203005,24468716,306217,42.4137268,-90.3754621
170730301005,1600848,391557,41.4787013,-90.3712882
170619737003,1852736,0,39.4772014,-90.3657585
170730301003,2917106,59430,41.4741717,-90.3654822
170830103001,17986670,862392,38.9793146,-90.3652162
170619737001,8314420,0,39.4950844,-90.3640332
170730301004,547400,0,41.4708322,-90.3622611
170619740004,43818857,23889,39.2805402,-90.3568292
170579530002,176108825,147630,40.6599791,-90.3562261
170830104013,6939997,0,39.1303327,-90.3503674
170730302011,34285093,0,41.3950826,-90.3487316
170730312002,166858387,133189,41.2134748,-90.3484744
170730301007,10850788,1044193,41.4931916,-90.3472569
170730301001,14447739,366335,41.4590981,-90.3456104
170730301002,958813,40519,41.4833111,-90.3429337
170579539001,45682730,314002,40.2689034,-90.3419813
170850201002,105718888,0,42.4744572,-90.336512
170579531001,102370021,703384,40.5103883,-90.3363718
170830104014,448968,0,39.1230624,-90.3354072
170830104015,359109,0,39.118018,-90.3349229
170830104012,11131540,0,39.1005032,-90.3339168
170730301006,2467449,159007,41.4733704,-90.3324393
170619740001,99628266,60179,39.3503768,-90.3322768
170830104016,49498332,39904,39.0806613,-90.3293355
170850204011,37605024,585233,42.3981678,-90.3262973
170830104011,860709,0,39.113628,-90.3259165
170730312004,9802003,0,41.1804943,-90.3238011
170850204023,147791718,21747446,42.2634528,-90.3216215
170179603001,207920224,11179134,40.0318324,-90.3197859
170830103003,35799802,5936067,38.9535131,-90.3163523
170579531003,61592015,0,40.345667,-90.3160676
170579530004,175660953,521441,40.5764988,-90.3146822
170179602003,95727230,18411,39.9142297,-90.3104749
170830103002,58259545,65729,39.0175415,-90.3091297
170830101002,5011446,0,39.1255511,-90.3086642
170830101003,3735373,0,39.1101953,-90.3083529
170730302022,37800678,0,41.3013038,-90.3058843
170619736001,242974772,188060,39.4664524,-90.2966614
170850204012,145734297,14050,42.3500572,-90.2841901
170730302031,65955343,1492192,41.4747874,-90.2830492
170830101004,91802625,57804,39.1468858,-90.2823512
170619736004,162093556,143002,39.2505118,-90.2817465
170579531004,171365516,37885,40.391793,-90.2638065
170730302021,159432062,57781,41.3750163,-90.2497939
170579530001,42018655,0,40.6730733,-90.2467857
170730302023,42964768,0,41.2976519,-90.2390853
170619736003,62267537,201971,39.3304741,-90.2330378
170730302032,22335101,389383,41.5067814,-90.2244588
170179602002,41884349,0,39.9187208,-90.2226887
170579539004,201385907,7470439,40.2392946,-90.2110804
170619736002,101675002,210130,39.3957831,-90.2096273
170579532002,21519082,345995,40.506052,-90.2076455
170850204024,11196526,0,42.3183221,-90.2063362
170830102001,95129047,313890,39.0763541,-90.1979511
